"name","id","tier","weight","cost","effect_1","value_1","effect_2","value_2","interval","weight_increase_per_purchase","max_weight_increase_purchases","asset_name",""
"Укрепление","1101","1","25","100","макс. HP, +","50","","","","0","0","BasicHP",""
"Энергетический щит","1102","1","25","100","макс. щит, +","50","","","","0","0","BagicShield",""
"Починка","1103","1","25","100","реген HP в сек, +","5","","","","0","0","BasicRegen",""
"Шипастая оборона","1104","1","25","100","урон шипов, +","5","","","","0","0","BasicSpike",""
"Золотая монетка","1105","1","50","100","золото в сек, +","1","","","","0","0","PassiveGold_1Tier",""
"Базовая атака","1106","1","18","100","весь урон, +%","5","","","","0","0","Damage",""
"Жадность","1107","1","18","0","HP, −","50","золото, +","200","","0","0","Sacrifice",""
"Магический урон","1108","1","8","100","урон Magic, +%","10","","","","0","0","MagicDamage",""
"Колющий урон","1109","1","8","100","урон Piercing, +%","10","","","","0","0","PiercingDamage",""
"Обычный урон","1110","1","8","100","урон Normal, +%","10","","","","0","0","NormalDamage",""
"Урон от снарядов","1111","1","8","100","урон Projectile, +%","10","","","","0","0","ProjectileDamage",""
"Тяжелый урон","1112","1","8","100","урон Heavy, +%","10","","","","0","0","HeavyDamage",""
"Урон хаосом","1113","1","8","100","урон Chaos, +%","10","","","","0","0","ChaosDamage",""
"Базовая защита","1201","2","14","400","входящий урон, −%","3,5","","","","0","0","BasicDamageReduction",""
"Генератор","1202","2","14","400","пассивный доход, +%","1","","","20","0","0","Generator",""
"Золотая шахта","1203","2","14","400","получаемое золото, +%","10","","","","0","0","GoldMine",""
"Клык чудища","1204","2","14","400","HP за убийство, +","15","","","","0","0","HealOnKill",""
"Янтарь","1205","2","14","400","макс. HP, +","5","","","10","0","0","HpPerTick",""
"Сапфир","1206","2","14","400","макс. щит, +","5","","","10","0","0","ShieldPerTick",""
"Восстановительные работы","1207","2","14","400","щит за убийство, +","10","","","","0","0","ShieldRestorePerKill",""
"Маска смерти","1208","2","9","400","урон шипов, +","5","HP за удар врага, +","3","","0","0","DeathMask",""
"Блокирование","1302","3","7","1500","стак шанса блока, +","1","","","","0","0","Block",""
"Капитальный ремонт","1303","3","7","1500","реген HP, +%","25","","","","0","0","IncreaceHpRegPercent",""
"Изумруд","1304","3","7","1500","реген HP в сек, +","1","","","10","0","0","RegenPerTick",""
"Магическая защита","1305","3","7","1500","макс. щит, +%","30","","","","0","0","Shield_Multiply",""
"Секретное оружие","1306","3","7","1500","урон оружий тира 1, +%","50","","","","0","0","SuperBullet",""
"Благославление природы","1307","3","7","1500","макс. HP, +","250","реген за 100 недостающих HP, +%","2","","0","0","NatureBlessing",""
"Укрепленные шипы","1308","3","7","1500","урон шипов, +","20","шипы за убийство шипами, +","1","","0","0","SpikeScaling",""
"Больше врагов","1309","3","4","0","врагов в волне, +%","15","золото, +","0","","0","0","MoreEnemy",""
"Ультимативный обычный урон","1401","4","1","3000","урон Normal, +%","30","за каждое оружие Normal, +%","2","","0","0","NormalDamageUltimate",""
"Ультимативный колющий урон","1402","4","1","3000","урон Piercing, +%","30","за каждое оружие Piercing, +%","2","","0","0","PiercingDamageUltimate",""
"Ультимативный урон от снарядов","1403","4","1","3000","урон Projectile, +%","30","за каждое оружие Projectile, +%","2","","0","0","ProjectileDamageUltimate 1",""
"Ультимативный магический урон","1404","4","1","3000","урон Magic, +%","30","за каждое оружие Magic, +%","2","","0","0","MagicDamageUltimate",""
"Ультимативный тяжелый урон","1405","4","1","3000","урон Heavy, +%","30","за каждое оружие Heavy, +%","2","","0","0","HeavyDamageUltimate",""
"Ультимативный урон хаосом","1406","4","1","3000","урон Chaos, +%","30","за каждое оружие Chaos, +%","2","","0","0","ChaosDamageUltimate",""
"Сингулярность","1407","4","3","3000","урон при активном щите, +%","20","","","","0","0","DamageWhileShieldActive",""
"Аура разложения","1408","4","3","3000","множитель урона от регена","1","","","","0","0","DegenAura",""
"Шипастый панцирь","1409","4","3","3000","урон шипов, +%","100","","","","0","0","SpikeUltimate",""
"Hunt","1310","3","8","1500","","","","","","0","0","Hunt",""
"Duplicator","1311","3","5","1500","","","","","","0","0","Duplicator",""
"Boss Contract","1410","4","3","3000","","","","","","0","0","BossContract",""
